truckid,driverid,event,city,state,velocity,event_ind,idling_ind
A85,A85,lane departure,San Francisco,California,55,1,0
A83,A83,normal,Apple Valley,California,28,0,0
A92,A92,normal,Willits,California,19,0,0
A40,A40,normal,Willits,California,68,0,0
A11,A11,normal,Bakersfield,California,25,0,0
A12,A12,normal,Santa Rosa,California,0,0,1
A90,A90,normal,Antelope,California,0,0,1
A40,A40,normal,La Palma,California,15,0,0
A65,A65,normal,La Quinta,California,0,0,1
A38,A38,normal,Willits,California,55,0,0
A2,A2,normal,Arbuckle,California,39,0,0
A59,A59,normal,Antelope,California,30,0,0
A38,A38,normal,Aptos,California,68,0,0
A28,A28,normal,Palmdale,California,69,0,0
A86,A86,normal,Santa Monica,California,0,0,1
A78,A78,normal,Napa,California,0,0,1
A75,A75,normal,Jacumba,California,46,0,0
A5,A5,normal,Santa Monica,California,22,0,0
A39,A39,normal,Arbuckle,California,75,0,0
A27,A27,normal,Mariposa,California,37,0,0
A48,A48,normal,Stockton,California,0,0,1
A8,A8,normal,Willits,California,0,0,1
A5,A5,normal,Napa,California,37,0,0
A31,A31,normal,Santa Rosa,California,40,0,0
A94,A94,overspeed,San Fernando,California,77,1,0
A24,A24,normal,Napa,California,15,0,0
A73,A73,overspeed,Bakersfield,California,81,1,0
A76,A76,normal,Palo Cedro,California,0,0,1
A62,A62,normal,Antelope,California,71,0,0
A57,A57,normal,Knights Landing,California,64,0,0
A71,A71,lane departure,Irvine,California,0,1,1
A94,A94,normal,San Fernando,California,40,0,0
A44,A44,normal,Santa Rosa,California,59,0,0
A8,A8,normal,Knightsen,California,17,0,0
A28,A28,lane departure,Napa,California,74,1,0
A3,A3,normal,Martinez,California,0,0,1
A5,A5,normal,Napa,California,58,0,0
A100,A100,normal,San Pablo,California,17,0,0
A100,A100,normal,Santa Rosa,California,0,0,1
A91,A91,normal,Santa Rosa,California,54,0,0
A3,A3,normal,Palo Cedro,California,44,0,0
A12,A12,normal,Santa Rosa,California,33,0,0
A45,A45,normal,Ukiah,California,33,0,0
A37,A37,normal,Goleta,California,0,0,1
A59,A59,normal,Stockton,California,49,0,0
A10,A10,normal,Kneeland,California,18,0,0
A75,A75,normal,San Fernando,California,0,0,1
A17,A17,normal,Arbuckle,California,40,0,0
A98,A98,unsafe following distance,Irvine,California,33,1,0
A67,A67,normal,Antelope,California,49,0,0
A97,A97,normal,Palmdale,California,34,0,0
A44,A44,normal,Stockton,California,31,0,0
A4,A4,normal,Glendora,California,0,0,1
A13,A13,normal,Roseville,California,46,0,0
A80,A80,normal,San Francisco,California,60,0,0
A32,A32,normal,La Palma,California,36,0,0
A63,A63,normal,Holtville,California,31,0,0
A85,A85,normal,Willits,California,57,0,0
A60,A60,normal,Kneeland,California,58,0,0
A94,A94,normal,Roseville,California,58,0,0
A63,A63,normal,Stockton,California,59,0,0
A84,A84,normal,Apple Valley,California,34,0,0
A1,A1,normal,Aptos,California,75,0,0
A32,A32,normal,Antelope,California,26,0,0
A5,A5,normal,Palmdale,California,27,0,0
A4,A4,normal,San Francisco,California,72,0,0
A91,A91,normal,La Palma,California,0,0,1
A39,A39,normal,Knightsen,California,29,0,0
A13,A13,normal,Palmdale,California,43,0,0
A38,A38,normal,Willits,California,23,0,0
A66,A66,normal,Arbuckle,California,54,0,0
A16,A16,normal,Antelope,California,0,0,1
A90,A90,normal,Palmdale,California,19,0,0
A94,A94,normal,Arbuckle,California,64,0,0
A89,A89,normal,Aptos,California,41,0,0
A32,A32,normal,San Diego,California,46,0,0
A43,A43,normal,Santa Rosa,California,67,0,0
A88,A88,normal,San Fernando,California,0,0,1
A17,A17,normal,Roseville,California,20,0,0
A82,A82,normal,Palmdale,California,31,0,0
A43,A43,normal,Arbuckle,California,0,0,1
A7,A7,normal,Knights Landing,California,61,0,0
A9,A9,lane departure,La Palma,California,74,1,0
A55,A55,normal,San Diego,California,75,0,0
A22,A22,normal,Apple Valley,California,58,0,0
A56,A56,normal,Jacumba,California,74,0,0
A100,A100,normal,Willits,California,0,0,1
A39,A39,normal,Antelope,California,49,0,0
A26,A26,normal,La Quinta,California,20,0,0
A40,A40,normal,Lodi,California,37,0,0
A11,A11,normal,Apple Valley,California,53,0,0
A6,A6,normal,San Dimas,California,36,0,0
A32,A32,normal,Napa,California,0,0,1
A60,A60,normal,Kneeland,California,23,0,0
A39,A39,normal,San Pablo,California,0,0,1
A8,A8,normal,Willits,California,36,0,0
A89,A89,normal,Modesto,California,16,0,0
A36,A36,normal,Palmdale,California,55,0,0
A25,A25,normal,Irvine,California,64,0,0
A98,A98,normal,San Dimas,California,74,0,0
A9,A9,normal,Napa,California,40,0,0
A53,A53,normal,Willits,California,37,0,0
A73,A73,normal,Rough and Ready,California,70,0,0
A4,A4,normal,Glendora,California,0,0,1
A96,A96,normal,Bakersfield,California,16,0,0
A37,A37,unsafe following distance,Apple Valley,California,0,1,1
A60,A60,normal,Stockton,California,22,0,0
A43,A43,lane departure,Arbuckle,California,74,1,0
A24,A24,normal,Palmdale,California,0,0,1
A73,A73,normal,Rough and Ready,California,58,0,0
A39,A39,normal,Santa Rosa,California,23,0,0
A11,A11,normal,San Fernando,California,0,0,1
A18,A18,normal,Willits,California,41,0,0
A93,A93,normal,Hollister,California,0,0,1
A5,A5,normal,Palmdale,California,0,0,1
A55,A55,normal,Santa Rosa,California,50,0,0
A41,A41,normal,Apple Valley,California,0,0,1
A89,A89,normal,Knightsen,California,45,0,0
A71,A71,overspeed,Stockton,California,91,1,0
A72,A72,normal,Santa Rosa,California,61,0,0
A60,A60,normal,Goleta,California,0,0,1
A88,A88,normal,Palo Cedro,California,25,0,0
A33,A33,normal,San Quentin,California,0,0,1
A31,A31,normal,Knightsen,California,0,0,1
A57,A57,normal,Apple Valley,California,0,0,1
A8,A8,normal,Glendora,California,69,0,0
A43,A43,normal,Arbuckle,California,75,0,0
A99,A99,normal,Ojai,California,27,0,0
A6,A6,normal,Palo Alto,California,22,0,0
A100,A100,normal,Willits,California,0,0,1
A92,A92,normal,Knights Landing,California,23,0,0
A48,A48,unsafe following distance,Stockton,California,16,1,0
A4,A4,normal,Santa Maria,California,73,0,0
A72,A72,normal,Ukiah,California,0,0,1
A57,A57,normal,Martinez,California,17,0,0
A3,A3,normal,Ukiah,California,18,0,0
A65,A65,normal,Santa Rosa,California,63,0,0
A16,A16,normal,Arbuckle,California,27,0,0
A69,A69,normal,Aptos,California,22,0,0
A40,A40,normal,Holtville,California,55,0,0
A45,A45,normal,Stockton,California,29,0,0
A29,A29,normal,Oceanside,California,20,0,0
A17,A17,normal,Stockton,California,0,0,1
A56,A56,normal,Palo Alto,California,54,0,0
A14,A14,normal,Apple Valley,California,16,0,0
A6,A6,normal,Glen Ellen,California,0,0,1
A76,A76,normal,Willits,California,17,0,0
A69,A69,normal,Willits,California,40,0,0
A31,A31,normal,San Pablo,California,40,0,0
A4,A4,normal,Occidental,California,70,0,0
A8,A8,normal,Glendora,California,46,0,0
A14,A14,lane departure,Santa Paula,California,48,1,0
A48,A48,normal,San Fernando,California,47,0,0
A10,A10,normal,Kneeland,California,26,0,0
A32,A32,normal,Palmdale,California,39,0,0
A36,A36,normal,Lodi,California,34,0,0
A78,A78,normal,Antelope,California,75,0,0
A32,A32,normal,Klamath,California,0,0,1
A57,A57,normal,Santa Rosa,California,0,0,1
A92,A92,normal,Apple Valley,California,64,0,0
A78,A78,normal,Modesto,California,44,0,0
A56,A56,normal,Palo Alto,California,20,0,0
A20,A20,normal,Hollister,California,69,0,0
A13,A13,normal,Lodi,California,60,0,0
A7,A7,normal,Santa Rosa,California,42,0,0
A32,A32,normal,Lodi,California,0,0,1
A89,A89,normal,Modesto,California,0,0,1
A70,A70,normal,Arbuckle,California,53,0,0
A53,A53,normal,Ukiah,California,19,0,0
A29,A29,lane departure,Palo Alto,California,24,1,0
A51,A51,normal,Lodi,California,69,0,0
A13,A13,normal,Lodi,California,64,0,0
A49,A49,normal,Homeland,California,40,0,0
A69,A69,normal,Bakersfield,California,57,0,0
A10,A10,normal,Santa Paula,California,45,0,0
A51,A51,normal,Antelope,California,44,0,0
A56,A56,normal,Glen Ellen,California,27,0,0
A71,A71,normal,Santa Rosa,California,16,0,0
A56,A56,normal,Goleta,California,44,0,0
A6,A6,normal,Palo Alto,California,56,0,0
A36,A36,normal,Palmdale,California,0,0,1
A46,A46,normal,San Diego,California,0,0,1
A80,A80,normal,San Fernando,California,0,0,1
A49,A49,normal,Homeland,California,75,0,0
A31,A31,normal,Marysville,California,71,0,0
A99,A99,normal,Ojai,California,50,0,0
A33,A33,normal,Palo Alto,California,0,0,1
A79,A79,normal,Stockton,California,0,0,1
A56,A56,normal,Goleta,California,37,0,0
A82,A82,normal,Palmdale,California,72,0,0
A87,A87,normal,Kneeland,California,31,0,0
A100,A100,normal,Occidental,California,60,0,0
A39,A39,unsafe following distance,Knightsen,California,40,1,0
A46,A46,normal,Fresno,California,0,0,1
A38,A38,normal,Santa Rosa,California,15,0,0
A30,A30,normal,San Fernando,California,17,0,0
A66,A66,normal,San Dimas,California,69,0,0
A57,A57,normal,Santa Rosa,California,0,0,1
A38,A38,normal,Aptos,California,46,0,0
A55,A55,normal,Modesto,California,19,0,0
A65,A65,normal,Santa Rosa,California,0,0,1
A21,A21,normal,Santa Rosa,California,0,0,1
A69,A69,normal,Santa Rosa,California,21,0,0
A51,A51,normal,Napa,California,0,0,1
A10,A10,unsafe following distance,San Quentin,California,0,1,1
A84,A84,normal,Willits,California,17,0,0
A44,A44,lane departure,Glen Ellen,California,0,1,1
A24,A24,normal,Arbuckle,California,68,0,0
A48,A48,normal,Holtville,California,64,0,0
A7,A7,normal,Santa Rosa,California,34,0,0
A85,A85,normal,Antelope,California,0,0,1
A52,A52,normal,San Fernando,California,75,0,0
A77,A77,normal,San Pablo,California,53,0,0
A9,A9,normal,San Diego,California,35,0,0
A45,A45,normal,Isleton,California,58,0,0
A68,A68,normal,Santa Rosa,California,51,0,0
A94,A94,normal,Lodi,California,54,0,0
A76,A76,normal,Santa Rosa,California,0,0,1
A39,A39,normal,Antelope,California,54,0,0
A99,A99,normal,La Palma,California,69,0,0
A61,A61,normal,Knights Landing,California,25,0,0
A7,A7,normal,Palo Cedro,California,45,0,0
A29,A29,normal,Oceanside,California,18,0,0
A39,A39,normal,Santa Rosa,California,26,0,0
A74,A74,normal,Hollister,California,73,0,0
A45,A45,normal,La Palma,California,16,0,0
A47,A47,normal,Hollister,California,37,0,0
A82,A82,normal,Modesto,California,71,0,0
A21,A21,normal,Cloverdale,California,60,0,0
A59,A59,normal,Napa,California,0,0,1
A38,A38,normal,Knights Landing,California,70,0,0
A23,A23,normal,San Diego,California,33,0,0
A11,A11,normal,Knights Landing,California,0,0,1
A20,A20,normal,Oceano,California,75,0,0
A74,A74,normal,Palmdale,California,56,0,0
A72,A72,normal,Apple Valley,California,56,0,0
A58,A58,normal,Santa Maria,California,39,0,0
A36,A36,normal,Willits,California,35,0,0
A51,A51,normal,Antelope,California,70,0,0
A8,A8,normal,Glendora,California,0,0,1
A2,A2,normal,Oceanside,California,16,0,0
A4,A4,normal,Glendora,California,0,0,1
A3,A3,normal,Ojai,California,70,0,0
A13,A13,normal,Palmdale,California,0,0,1
A77,A77,normal,Santa Rosa,California,62,0,0
A60,A60,normal,Isleton,California,0,0,1
A32,A32,normal,Modesto,California,39,0,0
A62,A62,normal,Knightsen,California,71,0,0
A95,A95,normal,San Quentin,California,64,0,0
A55,A55,normal,Antelope,California,31,0,0
A31,A31,normal,Antelope,California,56,0,0
A41,A41,normal,Willits,California,20,0,0
A29,A29,normal,Palo Alto,California,22,0,0
A40,A40,normal,Stockton,California,57,0,0
A84,A84,normal,San Fernando,California,68,0,0
A10,A10,normal,Kneeland,California,17,0,0
A75,A75,normal,Oceanside,California,54,0,0
A59,A59,normal,San Diego,California,20,0,0
A49,A49,normal,La Palma,California,0,0,1
A97,A97,normal,Willits,California,17,0,0
A47,A47,normal,Modesto,California,34,0,0
A26,A26,normal,Santa Rosa,California,39,0,0
A61,A61,normal,Willits,California,35,0,0
A12,A12,normal,Arbuckle,California,43,0,0
A11,A11,normal,Santa Rosa,California,37,0,0
A33,A33,normal,Glen Ellen,California,19,0,0
A90,A90,normal,Santa Rosa,California,52,0,0
A96,A96,normal,Bakersfield,California,0,0,1
A54,A54,normal,Rough and Ready,California,45,0,0
A35,A35,normal,Knightsen,California,0,0,1
A37,A37,normal,Santa Paula,California,54,0,0
A91,A91,normal,Willits,California,0,0,1
A64,A64,normal,Stockton,California,75,0,0
A32,A32,normal,Antelope,California,17,0,0
A2,A2,normal,Oceanside,California,23,0,0
A64,A64,normal,San Quentin,California,42,0,0
A87,A87,normal,Isleton,California,50,0,0
A6,A6,normal,San Dimas,California,15,0,0
A91,A91,normal,Kneeland,California,0,0,1
A14,A14,normal,Apple Valley,California,0,0,1
A90,A90,normal,Antelope,California,75,0,0
A40,A40,normal,Arbuckle,California,32,0,0
A90,A90,normal,Santa Monica,California,0,0,1
A91,A91,normal,Santa Rosa,California,27,0,0
A94,A94,normal,Irvine,California,60,0,0
A84,A84,normal,Apple Valley,California,64,0,0
A89,A89,normal,Santa Rosa,California,46,0,0
A83,A83,normal,San Quentin,California,58,0,0
A34,A34,normal,La Quinta,California,0,0,1
A95,A95,normal,Willits,California,0,0,1
A44,A44,normal,Jacumba,California,0,0,1
A44,A44,normal,Roseville,California,35,0,0
A10,A10,normal,Isleton,California,70,0,0
A33,A33,normal,San Quentin,California,36,0,0
A14,A14,normal,Isleton,California,58,0,0
A15,A15,normal,Aptos,California,66,0,0
A93,A93,normal,Antelope,California,57,0,0
A5,A5,normal,Antelope,California,0,0,1
A67,A67,normal,Jacumba,California,21,0,0
A79,A79,normal,Cloverdale,California,74,0,0
A43,A43,unsafe following distance,Santa Rosa,California,54,1,0
A69,A69,normal,Santa Rosa,California,70,0,0
A75,A75,normal,Jacumba,California,45,0,0
A99,A99,normal,Stockton,California,46,0,0
A86,A86,normal,Santa Monica,California,45,0,0
A29,A29,normal,Glen Ellen,California,54,0,0
A67,A67,normal,Santa Monica,California,75,0,0
A96,A96,normal,Mariposa,California,73,0,0
A31,A31,normal,Santa Rosa,California,40,0,0
A55,A55,normal,Stockton,California,50,0,0
A24,A24,normal,Santa Rosa,California,16,0,0
A74,A74,normal,Lodi,California,45,0,0
A28,A28,normal,San Diego,California,37,0,0
A44,A44,unsafe following distance,Arbuckle,California,54,1,0
A67,A67,normal,Irvine,California,37,0,0
A68,A68,normal,Isleton,California,0,0,1
A39,A39,normal,Santa Maria,California,48,0,0
A67,A67,normal,Arbuckle,California,75,0,0
A44,A44,normal,Jacumba,California,0,0,1
A20,A20,normal,Aptos,California,49,0,0
A15,A15,normal,Rough and Ready,California,62,0,0
A25,A25,normal,Oceanside,California,59,0,0
A52,A52,normal,Irvine,California,39,0,0
A5,A5,normal,San Diego,California,68,0,0
A41,A41,normal,Santa Rosa,California,0,0,1
A80,A80,normal,Ojai,California,60,0,0
A61,A61,normal,Knights Landing,California,55,0,0
A28,A28,normal,Markleeville,California,45,0,0
A35,A35,normal,Glendora,California,23,0,0
A91,A91,normal,Isleton,California,68,0,0
A84,A84,normal,Palo Cedro,California,54,0,0
A28,A28,normal,Napa,California,0,0,1
A74,A74,normal,Hollister,California,53,0,0
A26,A26,normal,Ojai,California,0,0,1
A16,A16,normal,Arbuckle,California,20,0,0
A36,A36,normal,Palmdale,California,44,0,0
A26,A26,normal,Homeland,California,75,0,0
A89,A89,normal,Santa Rosa,California,73,0,0
A67,A67,unsafe following distance,Stockton,California,31,1,0
A15,A15,normal,Aptos,California,61,0,0
A57,A57,normal,Martinez,California,17,0,0
A58,A58,normal,Glendora,California,69,0,0
A13,A13,normal,Roseville,California,27,0,0
A61,A61,normal,Willits,California,0,0,1
A64,A64,normal,Santa Rosa,California,39,0,0
A83,A83,normal,San Quentin,California,23,0,0
A55,A55,normal,Modesto,California,63,0,0
A34,A34,normal,Palo Cedro,California,0,0,1
A43,A43,normal,Aptos,California,19,0,0
A99,A99,normal,Isleton,California,45,0,0
A45,A45,normal,Isleton,California,54,0,0
A2,A2,normal,Palo Alto,California,52,0,0
A83,A83,normal,Cloverdale,California,41,0,0
A17,A17,normal,Lodi,California,0,0,1
A79,A79,normal,San Quentin,California,60,0,0
A77,A77,normal,Fresno,California,23,0,0
A63,A63,normal,Antelope,California,53,0,0
A80,A80,normal,Santa Rosa,California,31,0,0
A30,A30,normal,Redding,California,69,0,0
A85,A85,normal,Knightsen,California,62,0,0
A82,A82,normal,Modesto,California,18,0,0
A83,A83,normal,San Quentin,California,56,0,0
A98,A98,normal,Cloverdale,California,54,0,0
A98,A98,normal,Cloverdale,California,43,0,0
A81,A81,normal,Bakersfield,California,38,0,0
A25,A25,lane departure,Cloverdale,California,41,1,0
A86,A86,normal,Stockton,California,0,0,1
A19,A19,normal,Aptos,California,27,0,0
A25,A25,normal,Glen Ellen,California,0,0,1
A42,A42,normal,Knights Landing,California,67,0,0
A58,A58,normal,Willits,California,39,0,0
A19,A19,normal,Bakersfield,California,0,0,1
A38,A38,normal,Palo Cedro,California,0,0,1
A48,A48,normal,San Fernando,California,0,0,1
A72,A72,normal,Martinez,California,0,0,1
A57,A57,normal,Isleton,California,21,0,0
A65,A65,normal,Palo Cedro,California,42,0,0
A64,A64,normal,Stockton,California,58,0,0
A94,A94,normal,Willits,California,0,0,1
A62,A62,overspeed,Arbuckle,California,81,1,0
A1,A1,normal,Oceano,California,34,0,0
A8,A8,normal,San Pablo,California,22,0,0
A67,A67,normal,San Fernando,California,57,0,0
A50,A50,normal,Glendora,California,68,0,0
A24,A24,normal,Markleeville,California,47,0,0
A57,A57,normal,La Quinta,California,68,0,0
A40,A40,normal,Irvine,California,53,0,0
A64,A64,normal,La Puente,California,40,0,0
A20,A20,normal,Santa Rosa,California,43,0,0
A99,A99,normal,Martinez,California,55,0,0
A13,A13,normal,Stockton,California,70,0,0
A57,A57,normal,Santa Rosa,California,0,0,1
A52,A52,normal,San Quentin,California,0,0,1
A51,A51,normal,Oceano,California,62,0,0
A38,A38,normal,Santa Rosa,California,68,0,0
A27,A27,normal,Glendora,California,52,0,0
A13,A13,normal,La Palma,California,60,0,0
A74,A74,normal,San Diego,California,31,0,0
A73,A73,normal,Occidental,California,20,0,0
A71,A71,normal,Roseville,California,0,0,1
A49,A49,normal,Santa Rosa,California,28,0,0
A68,A68,normal,Santa Rosa,California,55,0,0
A91,A91,normal,Palo Alto,California,45,0,0
A17,A17,normal,Santa Rosa,California,16,0,0
A63,A63,unsafe following distance,Jacumba,California,0,1,1
A94,A94,normal,Antelope,California,31,0,0
A78,A78,normal,Lodi,California,64,0,0
A79,A79,normal,Goleta,California,43,0,0
A81,A81,normal,San Francisco,California,49,0,0
A36,A36,normal,La Palma,California,51,0,0
A26,A26,normal,Santa Rosa,California,54,0,0
A83,A83,normal,Palo Alto,California,53,0,0
A20,A20,normal,San Dimas,California,0,0,1
A70,A70,normal,San Dimas,California,26,0,0
A30,A30,normal,Isleton,California,58,0,0
A89,A89,normal,Modesto,California,44,0,0
A64,A64,normal,Kneeland,California,36,0,0
A10,A10,unsafe following distance,Goleta,California,43,1,0
A44,A44,normal,Santa Rosa,California,22,0,0
A23,A23,normal,Marysville,California,61,0,0
A2,A2,normal,San Dimas,California,0,0,1
A13,A13,normal,La Palma,California,48,0,0
A95,A95,normal,Santa Rosa,California,16,0,0
A44,A44,normal,Holtville,California,54,0,0
A43,A43,normal,Hollister,California,23,0,0
A22,A22,normal,Willits,California,55,0,0
A39,A39,normal,Santa Rosa,California,75,0,0
A86,A86,normal,La Palma,California,54,0,0
A3,A3,normal,Martinez,California,42,0,0
A68,A68,normal,Apple Valley,California,53,0,0
A22,A22,normal,Homeland,California,45,0,0
A35,A35,normal,Santa Maria,California,0,0,1
A72,A72,normal,Isleton,California,20,0,0
A46,A46,normal,San Diego,California,31,0,0
A68,A68,normal,Stockton,California,0,0,1
A41,A41,normal,Kneeland,California,48,0,0
A50,A50,unsafe following distance,San Diego,California,43,1,0
A5,A5,normal,Markleeville,California,0,0,1
A98,A98,normal,Palo Alto,California,27,0,0
A9,A9,normal,Willits,California,36,0,0
A97,A97,normal,San Dimas,California,0,0,1
A87,A87,normal,Santa Paula,California,0,0,1
